t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
4.576,-52.5814164334,-9.2293111656,24.7659839263,-0.2954166892,5.6162933964,0.6692292171,0.0855057003,0.0735,-0.0496068991
4.584,-50.5946223363,-9.173624444,25.240880305,-0.2752164178,5.3240302929,0.691770716,0.0855057003,0.0735,-0.0496068991
4.592,-48.5693996399,-9.5669910985,25.4735477409,-0.2707466622,5.0737754421,0.6574803737,0.0855057003,0.0735,-0.0496068991
4.6,-49.0601298157,-8.264697587,26.9577323203,-0.0630887828,5.0515829859,0.7435801865,0.0855057003,0.0735,-0.0496068991
4.608,-48.120544975,-7.4864323737,27.2396142467,0.0955337605,4.9087154172,0.7626287809,0.0855057003,0.0735,-0.0496068991
4.616,-47.770837503,-7.6677564051,27.3157277695,0.0776392048,4.8276986478,0.7459766816,0.0855057003,0.0735,-0.0496068991
4.624,-47.3801486226,-8.1797502165,26.8281042984,0.0488719081,4.7504413191,0.7122537355,0.0855057003,0.0735,-0.0496068991
4.632,-43.8623940451,-6.9567392077,25.8484417133,0.136743616,4.3311346449,0.80319425,0.0855057003,0.0735,-0.0496068991
4.64,-39.9379619704,-5.1878172329,22.7315058074,0.231245164,3.9815081452,0.7502117432,0.0855057003,0.0735,-0.0496068991
4.648,-36.7668754206,-5.5400006658,20.7106400004,0.134030172,3.6346278152,0.678485077,0.0855057003,0.0735,-0.0496068991
4.656,-30.9501466015,-5.5326900339,15.8775259013,-0.1007299299,3.1188869492,0.4794058787,0.0855057003,0.0735,-0.0496068991
4.664,-28.1905986873,-6.9543452043,8.7152956246,-0.6396821169,3.0537481213,0.2308513255,0.0855057003,0.0735,-0.0496068991
4.672,-28.2141461337,-7.063237195,6.6736137912,-0.5458701558,3.0891420895,0.1565881269,0.0855057003,0.0735,-0.0496068991
4.68,-31.4377633651,-5.0593084339,7.6355379021,-0.3822002158,3.4160962226,0.1851385044,0.0855057003,0.0735,-0.0496068991
4.688,-30.9011332306,-4.0961175931,6.6190792796,-0.2638053234,3.4024885526,0.2277572652,0.0855057003,0.0735,-0.0496068991
4.696,-29.3743333243,-4.9245887355,6.1298909056,-0.3374597025,3.2676661362,0.2253184745,0.0855057003,0.0735,-0.0496068991
4.704,-28.7864239199,-5.3823470859,6.7835912126,-0.4077150355,3.1895107853,0.2908938239,0.0855057003,0.0735,-0.0496068991
4.712,-32.8564525343,-5.5166431909,6.6747372438,-0.4280833388,3.7032458087,0.2875912039,0.0855057003,0.0735,-0.0496068991
4.72,-33.7578540186,-3.3870234075,4.7203487983,-0.2139499676,3.8736299587,0.1873289616,0.0855057003,0.0735,-0.0496068991
4.728,-30.2400747897,-1.543312809,2.939064712,-0.056463328,3.4796992022,0.0586262502,0.0855057003,0.0735,-0.0496068991
4.736,-27.553663462,-1.3262377942,2.6417681151,-0.0999141356,3.1782425763,0.0888239057,0.0855057002,0.0735,-0.0496068991
4.744,-29.7734046649,-1.3935103652,2.2744047747,-0.1530954945,3.4518174826,-0.1106755997,0.0855057002,0.0735,-0.0496068991
4.752,-28.592545143,0.0041426792,2.9264147804,-0.0280350092,3.3239217214,-0.1002190882,0.0855057002,0.0735,-0.0496068991
4.76,-27.9606971191,-1.9921245149,4.9125380395,-0.1791901209,3.164706648,-0.3247182698,0.0855057002,0.0735,-0.0496068991
4.768,-31.9307277499,-2.5598477212,5.7090975802,-0.1913820292,3.6394760031,-0.2610530606,0.0855057002,0.0735,-0.0496068991
4.776,-35.4508234133,-3.658180259,7.6993337332,-0.3200566138,3.9886478446,-0.2749232485,0.0855057002,0.0735,-0.0496068991
