"id","type","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
855,1,0,0,0,3.7817e-06,-2.4872e-05,-1.9971e-07,0.0018529,-8.9876e-05,0.00058702,0.0075,0.0033386,0.00052109,0.00092146,-0.016882,0.080891,-0.2375
298,1,0,0,0,2.9089e-05,9.1887e-06,1.8019e-06,0.0018458,0.026647,-0.017862,0.0075,-0.0025403,0.0038021,-0.002885,0.0014466,0.078835,-0.2375
254,1,0,0,0,7.6628e-06,1.1438e-05,1.4401e-06,-0.0069956,-0.0022298,-0.0028227,0.0075,-0.0017697,0.00088831,-0.00015227,0.049302,0.081847,-0.2375
869,1,0,0,0,1.6145e-05,1.0119e-05,1.9899e-06,-0.0097542,-0.017259,-0.0087323,0.0075,-0.0015653,0.0019624,-0.0037546,0.069481,0.076897,-0.2375
741,1,0,0,0,2.9715e-05,3.4488e-05,-0.00010634,-0.0024964,0.0014909,0.0032458,0.0075,0.018822,0.031488,0.012164,0.080806,0.086241,-0.23444
1048,1,0,0,0,6.5786e-05,-1.6454e-05,9.0183e-14,-2.3164e-18,3.5161e-19,0,0.0075,0.0021939,0.0087717,-0.0071693,0.098668,0.085274,-0.2375
1135,1,0,0,0,9.1573e-06,7.1357e-07,7.7401e-07,0.0031938,0.0088947,-0.0067705,0.0075,0.00030928,0.0012979,-0.011621,0.11317,0.078115,-0.2375
1478,1,0,0,0,-2.16e-05,-7.1234e-05,3.1564e-06,0.016552,-0.01485,-0.001858,0.0075,0.0098908,-0.0034285,0.01762,0.12801,0.073496,-0.2375
268,1,0,0,0,-1.8419e-05,2.0158e-05,-4.598e-06,-0.0020063,-0.0043839,0.0013405,0.0075,-0.0031402,-0.0017983,-0.0041788,0.13842,0.084488,-0.2375
1249,1,0,0,0,2.859e-07,-1.043e-05,6.7964e-07,-0.0085363,0.011737,-0.0068154,0.0075,0.0014511,-3.1221e-05,0.0027427,-0.068672,0.09584,-0.2375
15,1,0,0,0,6.5182e-07,-1.1498e-05,7.2111e-07,0.0044261,-0.018879,0.0076869,0.0075,0.0014985,0.00018257,-0.0029056,-0.053715,0.096962,-0.2375
1206,1,0,0,0,-4.0295e-06,1.049e-05,1.1553e-06,0.041618,0.011225,0.010644,0.0075,-0.0014094,-0.00052352,0.010958,-0.037229,0.097556,-0.2375
172,1,0,0,0,-2.9977e-06,2.291e-06,1.8971e-06,0.0017826,0.035454,0.017424,0.0075,-0.00029344,-0.00048142,0.0075628,-0.0056027,0.092767,-0.23751
295,1,0,0,0,1.4072e-05,-2.4967e-05,-6.226e-07,-0.00069309,-0.0018919,-0.00054448,0.0075,0.0033253,0.0018284,-0.0029515,0.018505,0.088367,-0.2375
1251,1,0,0,0,4.6547e-06,-5.5905e-06,4.2616e-07,-0.016202,-0.017666,-0.012866,0.0075,0.00068382,0.00054116,0.0055711,0.0064185,0.10174,-0.23751
1446,1,0,0,0,6.2332e-06,4.8592e-06,-9.4242e-08,0.010055,0.0088643,0.0011013,0.0075,-0.00070545,0.00083268,0.00084555,0.037477,0.091074,-0.2375
1477,1,0,0,0,1.1685e-05,3.7565e-07,5.2016e-07,0.0052511,0.0088415,0.0014324,0.0075,0.0001505,0.001691,0.0047804,0.063833,0.090793,-0.2375
986,1,0,0,0,-1.0655e-05,-3.2997e-05,-3.7166e-06,-0.008568,-0.0018255,-0.0035701,0.0075,0.0043327,-0.001252,0.013668,0.053682,0.10213,-0.2375
433,1,0,0,0,-6.531e-05,-3.1585e-05,2.7035e-06,-0.0011632,0.014512,-0.0019985,0.0075,0.0041215,-0.009021,0.02395,0.075686,0.10003,-0.2375
814,1,0,0,0,-4.2136e-05,9.5693e-05,-1.2009e-05,-0.00083233,0.00056633,0.0083255,0.0075,0.028239,0.0068315,0.00072151,0.090205,0.09793,-0.23438
1420,1,0,0,0,-2.5972e-05,-1.0375e-05,-3.0776e-06,0.021616,-0.0086421,3.5021e-05,0.0075,0.0014639,-0.0035895,-0.021765,0.10475,0.099884,-0.2375
623,1,0,0,0,5.539e-05,-3.5755e-05,1.0407e-06,-0.022382,-0.019881,-0.0052076,0.0075,0.0052078,0.0073192,0.0041248,0.1218,0.090379,-0.2375
246,1,0,0,0,6.847e-06,-1.9578e-06,5.4509e-07,0.0081832,0.025644,-0.0018749,0.0075,0.00042837,0.00092198,0.0034073,0.13052,0.10258,-0.2375
993,1,0,0,0,-2.9674e-05,1.1586e-06,-1.3546e-06,-0.011448,-0.012052,-0.0055044,0.0075,-0.00010004,-0.0040604,0.0082899,-0.08134,0.10567,-0.23751
2,1,0,0,0,-3.4246e-05,-3.3561e-06,1.4777e-06,-0.0084694,0.0037745,-0.0033673,0.0075,0.000342,-0.0045139,-8.1501e-05,-0.069863,0.11534,-0.2375
1534,1,0,0,0,2.7408e-06,-1.3446e-05,-5.6636e-07,0.0097103,0.0019736,-0.0062369,0.0075,0.0017675,0.00021073,0.00046606,-0.054806,0.11354,-0.2375
1736,1,0,0,0,-4.3778e-07,2.4615e-06,9.2679e-07,-0.012102,0.015339,0.0087406,0.0075,-0.00026989,-0.00012308,0.0015701,-0.040022,0.11607,-0.2375
614,1,0,0,0,8.2483e-06,-2.1668e-05,1.7026e-06,-0.036877,-0.0050436,-0.013579,0.0075,0.0027904,0.0010888,-0.015569,-0.023245,0.10298,-0.23751
1339,1,0,0,0,-2.6529e-05,1.7677e-05,-1.4748e-06,-0.0042667,0.010492,-0.0035561,0.0075,-0.0032729,-0.0043658,-0.0035118,-0.015523,0.11604,-0.2375
1763,1,0,0,0,2.6583e-06,9.3243e-07,2.5097e-06,0.0092417,0.0088713,-0.0083102,0.0075,-0.00015108,0.00031968,0.00023438,0.020567,0.10768,-0.2375
1280,1,0,0,0,3.4239e-06,-3.7108e-07,-1.4511e-06,0.0021469,-0.0068563,7.1862e-05,0.0075,0.00028691,0.00043875,-0.00039163,0.035464,0.10594,-0.2375
1535,1,0,0,0,-2.6292e-05,-1.2941e-05,-5.3364e-06,0.0022904,-0.016757,0.010557,0.0075,-0.00069461,0.0028246,-0.0079668,0.065348,0.10838,-0.23045
137,1,0,0,0,5.7461e-06,9.1795e-05,-2.1706e-06,0.0011618,-4.8688e-05,0.00032518,0.0075,-0.012256,0.00088649,-0.021871,0.092081,0.11248,-0.2375
