t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
7.848,-9.8429569665,9.8271167793,-13.3180840229,1.016727181,1.9122862617,0.1272973191,0.1151362933,0.0735,-0.0449013112
7.856,-10.0164591716,7.7158418741,-13.0871518999,0.8131663051,1.914459519,-0.2178778086,0.1151362792,0.0735,-0.0449013017
7.864,-11.4588291503,10.3899293349,-12.8545477707,1.1256252487,1.9928987744,-0.2250192656,0.1151362651,0.0735,-0.0449012923
7.872,-11.8674554369,13.0120615781,-12.3640828293,1.383379655,1.9857214894,-0.177559311,0.115136251,0.0735,-0.044901283
7.88,-11.5827035488,14.4851913827,-12.6266336093,1.513834972,2.026015253,-0.1813213174,0.1151362369,0.0735,-0.0449012737
7.888,-9.920930213,15.843563641,-11.9939126545,1.6748693362,1.8469697202,-0.2434389302,0.1151362227,0.0735,-0.0449012644
7.896,-10.1680973822,17.4582039092,-12.7318219116,1.8430495555,1.9920934167,-0.2590711531,0.1151362085,0.0735,-0.0449012551
7.904,-9.4094982873,19.5791761816,-10.8979861754,2.0059856557,1.8472770744,-0.2834030752,0.1151361943,0.0735,-0.0449012459
7.912,-8.8908118423,19.8040892523,-11.3506872036,2.0123876531,1.7732714528,-0.2244878353,0.11513618,0.0735,-0.0449012368
7.92,-8.9537393022,18.5682640118,-11.3751405131,1.8956720295,1.8079963432,-0.2181404293,0.1151361658,0.0735,-0.0449012277
7.928,-8.4491368382,16.374709143,-12.248986209,1.6442224019,1.7758275167,-0.2241235099,0.1151361515,0.0735,-0.0449012186
7.936,-10.0535506805,17.2518721617,-11.154218682,1.7471143433,1.7646743697,-0.1223917995,0.1151361371,0.0735,-0.0449012096
7.944,-8.6970909715,15.8202727213,-10.5725853194,1.590190096,1.6836487139,-0.1294498823,0.1151361228,0.0735,-0.0449012006
7.952,-9.5859042152,17.6335148611,-10.7575668734,1.769042432,1.7907421277,-0.2083859311,0.1151361084,0.0735,-0.0449011916
7.96,-9.4154910446,17.6854542566,-11.2355713704,1.7494517461,1.8337847996,-0.1934683333,0.115136094,0.0735,-0.0449011827
7.968,-9.7407810509,17.3162661163,-11.1403296704,1.7508262147,1.8533071457,-0.2220185613,0.1151360796,0.0735,-0.0449011738
7.976,-9.8308742706,17.0449038788,-11.2464096632,1.6887757129,1.867038978,-0.1856108884,0.1151360651,0.0735,-0.044901165
7.984,-9.1082853198,16.1736351477,-10.7215675386,1.5848787455,1.7492795065,-0.1886215831,0.1151360506,0.0735,-0.0449011562
7.992,-6.7502870648,9.5313245977,-11.9926474266,0.9292376401,1.4990956638,-0.0480769962,0.1151360361,0.0735,-0.0449011475
8,-7.2266308535,9.0726158331,-13.6324068939,0.9562002616,1.5741208861,-0.0518454125,0.1151360216,0.0735,-0.0449011388
8.008,-6.7495130196,6.7947185113,-13.4012233587,0.7830943311,1.5601569881,-0.1038564545,0.1151360071,0.0735,-0.0449011301
8.016,-6.2752962648,5.0640826416,-13.4849061747,0.5725137297,1.499552752,-0.0442352241,0.1151359925,0.0735,-0.0449011215
8.024,-5.8190428996,2.2441120183,-13.1967079095,0.2964263598,1.3927122763,-0.0502115379,0.1151359779,0.0735,-0.0449011129
8.032,-8.3000837256,11.9290477985,-11.9671301418,1.1640860044,1.7141275555,-0.0400396517,0.1151359632,0.0735,-0.0449011044
8.04,-7.7158840415,10.7654822647,-12.1224831233,1.1100637394,1.6583615786,-0.0397874237,0.1151359486,0.0735,-0.0449010959
8.048,-6.6883389438,9.1498249161,-12.9934929039,0.9761896731,1.5362174555,-0.0731239169,0.1151359339,0.0735,-0.0449010874
8.056,-7.4634065028,7.9210398184,-12.4788823645,0.8458197244,1.615206485,-0.0905594187,0.1151359192,0.0735,-0.044901079
8.064,-7.0377214592,6.8311851716,-12.0624172157,0.7325229676,1.5309784158,-0.0805176154,0.1151359045,0.0735,-0.0449010707
